+--------+---------------------+-----------------------+----------------------+------------------+----------------------+--------------------+-------------+------------------+------------------------+
| Bin#   |         ZZ          |          ttZ          |        Higgs         |        WZ        |        Other         |       Total        |    data     |      Ratio       |          WWZ           |
|--------+---------------------+-----------------------+----------------------+------------------+----------------------+--------------------+-------------+------------------+------------------------+
| Bin0   |        0 ± 0        |         0 ± 0         |        0 ± 0         |      0 ± 0       |        0 ± 0         |       0 ± 0        |    0 ± 0    |      0 ± 0       |         0 ± 0          |
| Bin1   |        0 ± 0        |         0 ± 0         |        0 ± 0         |      0 ± 0       |        0 ± 0         |       0 ± 0        |    0 ± 0    |      0 ± 0       |         0 ± 0          |
| Bin2   |        0 ± 0        |         0 ± 0         |        0 ± 0         |      0 ± 0       |        0 ± 0         |       0 ± 0        |    0 ± 0    |      0 ± 0       |         0 ± 0          |
| Bin3   |   28.98 ± 0.1016    |  0.01436 ± 0.004541   |        0 ± 0         |   0 ± 0.01527    | 0.001186 ± 0.001186  |    29 ± 0.1028     | 18 ± 4.243  | 0.6208 ± 0.1463  |  0.001366 ± 0.0001965  |
| Bin4   |    48.2 ± 0.1312    |  0.002872 ± 0.005745  |  0.09854 ± 0.09854   |   0 ± 0.01527    | 0.003558 ± 0.002054  |   48.31 ± 0.1649   | 42 ± 6.481  | 0.8694 ± 0.1342  |  0.001947 ± 0.0001822  |
| Bin5   |   56.21 ± 0.1421    |   0.0158 ± 0.005178   |   0.1971 ± 0.1394    | 0.0108 ± 0.0108  | 0.004743 ± 0.002905  |   56.44 ± 0.1994   | 55 ± 7.416  | 0.9745 ± 0.1314  |  0.001645 ± 0.0002055  |
| Bin6   |   46.51 ± 0.1296    |  0.01149 ± 0.005374   |   0.1971 ± 0.1394    |      0 ± 0       | 0.003558 ± 0.002054  |   46.72 ± 0.1904   | 39 ± 6.245  | 0.8347 ± 0.1337  |   0.04686 ± 0.04543    |
| Bin7   |   17.06 ± 0.07867   |  0.01005 ± 0.004308   |      0 ± 0.1394      | 0.0108 ± 0.0108  |        0 ± 0         |   17.08 ± 0.1604   | 13 ± 3.606  | 0.7611 ± 0.2112  | 0.0006829 ± 0.0001407  |
| Bin8   |   6.736 ± 0.04933   |  0.002872 ± 0.003518  |        0 ± 0         |      0 ± 0       |        0 ± 0         |  6.739 ± 0.04945   | 10 ± 3.162  |  1.484 ± 0.4694  | 0.0002691 ± 0.0001201  |
| Bin9   |   3.595 ± 0.03599   |     0 ± 0.002872      |        0 ± 0         |      0 ± 0       | 0.001186 ± 0.001186  |  3.596 ± 0.03612   |  3 ± 1.732  | 0.8343 ± 0.4817  | 0.0002348 ± 5.125e-05  |
| Bin10  |   2.119 ± 0.02762   |     0 ± 0.003518      |        0 ± 0         |      0 ± 0       |        0 ± 0         |  2.119 ± 0.02784   |    4 ± 2    |  1.887 ± 0.944   | 0.0001566 ± 4.184e-05  |
| Bin11  |   1.377 ± 0.02226   |  0.001436 ± 0.002487  |        0 ± 0         |      0 ± 0       |        0 ± 0         |   1.378 ± 0.0224   |    1 ± 1    | 0.7256 ± 0.7257  | 0.0001685 ± 0.0001153  |
| Bin12  |  0.9525 ± 0.01856   |         0 ± 0         | 0.005248 ± 0.005248  | 0.0108 ± 0.0108  |        0 ± 0         |  0.9685 ± 0.0221   |    1 ± 1    |  1.032 ± 1.033   | 2.237e-05 ± 1.582e-05  |
| Bin13  |  0.6419 ± 0.01522   |  0.002872 ± 0.002872  |        0 ± 0         |      0 ± 0       |        0 ± 0         |  0.6447 ± 0.01549  |    1 ± 1    |  1.551 ± 1.551   | 3.355e-05 ± 1.937e-05  |
| Bin14  |  0.4667 ± 0.01292   |         0 ± 0         |        0 ± 0         |      0 ± 0       |        0 ± 0         |  0.4667 ± 0.01292  |    0 ± 0    |      0 ± 0       | 3.355e-05 ± 1.937e-05  |
| Bin15  |  0.3344 ± 0.01091   |  0.001436 ± 0.001436  |        0 ± 0         |      0 ± 0       |        0 ± 0         |  0.3358 ± 0.01101  |    0 ± 0    |      0 ± 0       | 3.355e-05 ± 1.937e-05  |
| Bin16  |  0.2516 ± 0.009435  |     0 ± 0.002031      |        0 ± 0         |      0 ± 0       |        0 ± 0         | 0.2516 ± 0.009651  |    0 ± 0    |      0 ± 0       | 1.118e-05 ± 1.118e-05  |
| Bin17  |  0.193 ± 0.008336   |         0 ± 0         |        0 ± 0         |      0 ± 0       |        0 ± 0         |  0.193 ± 0.008336  |    0 ± 0    |      0 ± 0       | 2.237e-05 ± 1.582e-05  |
| Bin18  |  0.134 ± 0.006877   |  0.002872 ± 0.002031  |        0 ± 0         |      0 ± 0       |        0 ± 0         | 0.1369 ± 0.007171  |    0 ± 0    |      0 ± 0       | 2.237e-05 ± 1.582e-05  |
| Bin19  |  0.1146 ± 0.006383  |  0.001436 ± 0.001436  |        0 ± 0         |      0 ± 0       |        0 ± 0         | 0.1161 ± 0.006542  |    0 ± 0    |      0 ± 0       |         0 ± 0          |
| Bin20  | 0.09444 ± 0.005791  | -0.001436 ± 0.001436  |        0 ± 0         |      0 ± 0       |        0 ± 0         |  0.093 ± 0.005966  |    0 ± 0    |      0 ± 0       |         0 ± 0          |
| Bin21  |  0.4088 ± 0.01203   |  0.001436 ± 0.001436  |        0 ± 0         |      0 ± 0       |        0 ± 0         |  0.4102 ± 0.01211  |    0 ± 0    |      0 ± 0       | 1.118e-05 ± 1.118e-05  |
+--------+---------------------+-----------------------+----------------------+------------------+----------------------+--------------------+-------------+------------------+------------------------+
